state,window_date,window_days,winning_size,frequency,population_variance
ANDHRA PRADESH,2022-06-22,10,L,102,87980.1192810458
ANDHRA PRADESH,2022-06-23,10,L,98,92758.9991670138
ANDHRA PRADESH,2022-06-24,10,L,100,104825.00039999996
ANDHRA PRADESH,2022-06-25,10,L,98,110322.29695960012
ANDHRA PRADESH,2022-06-26,10,L,99,101202.77685950423
ANDHRA PRADESH,2022-06-27,10,L,99,101687.25272931322
ANDHRA PRADESH,2022-06-28,10,L,90,105176.57580246922
ANDHRA PRADESH,2022-06-29,10,M,90,74033.39061728393
ANDHRA PRADESH,2022-06-30,10,M,84,75080.12287414965
ANDHRA PRADESH,2022-07-01,10,M,69,83264.35076664563
ANDHRA PRADESH,2022-07-02,10,M,67,85004.10425484518
ANDHRA PRADESH,2022-07-03,10,M,57,86704.13173284079
ANDHRA PRADESH,2022-07-04,10,M,49,81000.76801332773
ANDHRA PRADESH,2022-07-05,10,M,32,58792.55859375
ANDHRA PRADESH,2022-07-06,10,M,26,57106.27366863913
ANDHRA PRADESH,2022-07-07,10,M,19,54166.58725761768
ANDHRA PRADESH,2022-07-08,10,M,11,49496.446280991775
ANDHRA PRADESH,2022-07-09,10,S,3,152813.55555555556
AR,2022-05-31,10,L,1,0.0
AR,2022-06-01,10,L,1,0.0
AR,2022-06-02,10,L,1,0.0
AR,2022-06-03,10,L,1,0.0
AR,2022-06-04,10,L,1,0.0
AR,2022-06-05,10,L,1,0.0
AR,2022-06-06,10,L,1,0.0
AR,2022-06-07,10,L,1,0.0
AR,2022-06-08,10,L,1,0.0
AR,2022-06-09,10,L,1,0.0
ARUNACHAL PRADESH,2022-04-02,10,S,2,55696.0
ARUNACHAL PRADESH,2022-04-03,10,L,2,0.0
ARUNACHAL PRADESH,2022-04-04,10,3XL,3,1646.0
ARUNACHAL PRADESH,2022-04-05,10,3XL,3,1646.0
ARUNACHAL PRADESH,2022-04-06,10,XS,5,84450.56000000006
ARUNACHAL PRADESH,2022-04-07,10,XS,6,73984.55555555562
ARUNACHAL PRADESH,2022-04-08,10,XS,6,73984.55555555562
ARUNACHAL PRADESH,2022-04-09,10,XS,6,73984.55555555562
ARUNACHAL PRADESH,2022-04-10,10,XS,6,73984.55555555562
